County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 38,452 10,093 996 2 633 340
BEDFORD 18,966 5,055 601 35 241 121
BENTON 8,572 3,088 348 10 140 114
BLEDSOE 7,227 1,685 223 41 142 46
BLOUNT 69,510 3,848 1,970 14 883 118
BRADLEY 57,615 4,520 1,298 331 747 90
CAMPBELL 21,422 2,596 529 10 367 155
CANNON 6,841 1,740 300 11 96 44
CARROLL 15,690 2,751 374 683 911 109
CARTER 30,183 1,923 796 52 458 58
CHEATHAM 22,019 2,877 524 4 351 72
CHESTER 9,150 1,172 261 0 163 34
CLAIBORNE 15,375 1,800 432 1,813 344 0
CLAY 5,170 634 156 0 82 22
COCKE 19,711 2,885 659 91 316 61
COFFEE 26,367 5,353 826 1 423 163
CROCKETT 7,314 1,523 178 0 129 50
CUMBERLAND 34,631 4,743 843 0 308 108
DAVIDSON 297,184 71,832 7,145 1,634 2,505 1,419
DECATUR 6,218 1,174 241 2 128 59
DEKALB 10,053 2,902 359 0 171 100
DICKSON 23,173 6,704 741 2,777 313 75
DYER 18,901 3,321 430 23 302 92
FAYETTE 23,580 3,246 558 252 341 163
FENTRESS 10,342 2,357 372 0 127 59
FRANKLIN 21,074 4,526 477 80 350 140
GIBSON 25,592 5,067 627 27 474 224
GILES 16,573 1,904 420 2 268 50
GRAINGER 11,929 2,770 646 5 180 95
GREENE 37,722 3,056 868 54 452 80
GRUNDY 6,379 1,356 460 13 67 48
HAMBLEN 31,575 2,607 644 13 480 97
HAMILTON 219,561 13,467 7,212 0 5,060 530
HANCOCK 4,699 349 181 0 96 18
HARDEMAN 13,282 3,091 306 0 191 113
HARDIN 13,659 2,049 287 21 226 69
HAWKINS 26,762 9,209 593 33 422 311
HAYWOOD 9,663 2,305 239 0 117 67
HENDERSON 14,656 3,608 351 5 261 128
HENRY 16,733 3,066 443 0 273 83
HICKMAN 11,878 2,172 321 15 198 83
HOUSTON 5,005 465 239 1 63 8
HUMPHREYS 11,526 925 344 0 184 28
JACKSON 7,067 1,417 300 0 153 68
JEFFERSON 26,835 3,727 926 13 427 116
JOHNSON 10,272 829 308 2 181 40
KNOX 275,986 14,512 3,989 208 2,810 282
LAKE 3,505 531 116 39 73 26
LAUDERDALE 13,733 845 306 0 260 38
LAWRENCE 21,240 3,499 512 0 224 84
LEWIS 6,647 1,669 237 77 106 43
LINCOLN 16,845 3,741 340 11 247 98
LOUDON 28,839 4,500 814 7 422 121
MACON 9,840 3,542 472 1 124 104
MADISON 50,290 13,571 984 80 630 312
MARION 14,739 5,234 457 9 247 174
MARSHALL 13,904 4,700 437 151 226 144
MAURY 46,765 5,685 1,344 312 567 173
MCMINN 28,006 2,519 758 24 375 107
MCNAIRY 13,141 2,168 349 1 248 98
MEIGS 6,439 1,202 281 0 96 33
MONROE 24,508 7,289 836 0 415 165
MONTGOMERY 77,887 21,518 3,049 95 576 272
MOORE 4,460 121 90 0 72 3
MORGAN 9,294 2,701 244 7 142 91
OBION 16,122 3,969 279 0 158 57
OVERTON 12,013 2,088 441 0 177 64
PERRY 5,129 289 179 0 73 4
PICKETT 3,596 462 145 0 44 13
POLK 11,914 85 419 0 86 0
PUTNAM 33,351 10,394 1,040 27 385 256
RHEA 14,366 5,696 342 5 188 123
ROANE 27,886 4,635 660 25 440 165
ROBERTSON 34,763 4,799 933 26 488 176
RUTHERFORD 130,019 22,771 3,570 45 1,352 376
SCOTT 13,355 1,326 302 13 157 32
SEQUATCHIE 8,899 1,043 220 5 145 21
SEVIER 51,079 7,120 2,188 37 1,152 209
SHELBY 498,940 33,516 5,550 2 3,180 74,519
SMITH 10,225 2,395 195 2 157 63
STEWART 7,212 1,692 281 7 82 41
SULLIVAN 81,772 8,850 2,114 371 1,610 276
SUMNER 83,176 19,215 2,347 33 902 575
TIPTON 31,009 8,914 697 17 365 235
TROUSDALE 4,428 897 141 0 76 31
UNICOI 9,207 2,232 311 78 133 69
UNION 8,885 3,402 295 13 239 39
VAN BUREN 4,156 321 184 1 83 15
WARREN 18,149 3,511 531 163 322 86
WASHINGTON 61,302 11,722 1,501 6 574 274
WAYNE 8,359 1,980 231 0 117 38
WEAKLEY 15,615 4,938 530 75 242 183
WHITE 12,987 3,607 421 16 254 95
WILLIAMSON 114,396 21,946 3,325 603 1,118 494
WILSON 63,960 12,529 1,857 252 1,003 526
