County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 46,221 1,361 684 0 722 1,710
BEDFORD 21,547 1,514 568 794 336 497
BENTON 11,586 233 289 4 208 15
BLEDSOE 8,426 518 161 4 117 540
BLOUNT 60,213 14,238 1,574 7,486 1,476 524
BRADLEY 56,627 3,902 1,372 0 621 72
CAMPBELL 23,119 793 515 23 436 2,190
CANNON 7,536 235 179 141 327 784
CARROLL 18,941 926 374 3 338 15
CARTER 32,515 1,368 631 19 472 908
CHEATHAM 22,034 1,574 572 654 381 445
CHESTER 8,529 3,255 222 7 192 196
CLAIBORNE 15,824 2,167 366 1,076 1,995 0
CLAY 5,881 170 159 0 104 405
COCKE 19,858 1,520 473 875 483 355
COFFEE 28,991 1,909 787 1,069 542 262
CROCKETT 9,420 317 201 1 222 117
CUMBERLAN 33,337 4,162 980 2,866 378 976
DAVIDSON 310,770 34,654 6,049 41,514 7,149 35,871
DECATUR 7,321 392 118 0 85 167
DEKALB 12,049 651 302 14 190 639
DICKSON 27,075 3,923 540 1,387 317 179
DYER 20,673 1,260 436 332 285 31
FAYETTE 24,026 645 622 588 485 888
FENTRESS 10,615 1,364 206 942 137 229
FRANKLIN 23,852 1,575 474 927 881 476
GIBSON 28,643 1,346 762 378 558 374
GILES 17,745 857 363 607 262 546
GRAINGER 12,476 623 262 0 186 953
GREENE 36,931 2,682 931 847 456 66
GRUNDY 6,095 2,284 140 1,148 122 130
HAMBLEN 31,998 2,295 826 37 518 70
HAMILTON 206,999 16,927 4,342 0 2,161 266
HANCOCK 4,709 345 55 1,116 90 73
HARDEMAN 15,962 658 369 0 244 606
HARDIN 13,822 2,263 424 1,335 187 207
HAWKINS 33,533 1,198 775 1,132 498 53
HAYWOOD 12,467 283 177 1 102 1
HENDERSON 16,602 769 332 509 238 186
HENRY 17,080 6,362 417 6,312 288 264
HICKMAN 13,137 1,224 231 529 185 16
HOUSTON 4,985 53 78 12 84 2
HUMPHREYS 12,121 165 992 183 397 581
JACKSON 7,995 519 197 124 142 14
JEFFERSON 26,566 2,119 644 1,589 510 623
JOHNSON 10,293 754 159 342 129 205
KNOX 263,128 16,789 5,245 967 5,435 1,259
LAKE 4,087 175 149 0 93 4
LAUDERDALE 13,985 663 292 508 302 37
LAWRENCE 25,155 944 546 0 354 461
LEWIS 7,828 367 90 0 91 3
LINCOLN 17,846 1,239 479 755 227 460
LOUDON 28,834 1,519 555 742 538 930
MACON 13,148 16 352 1 293 542
MADISON 60,815 1,609 1,275 84 853 2,987
MARION 19,029 763 436 1 355 17
MARSHALL 16,573 1,317 358 500 338 31
MAURY 44,226 4,476 1,183 2,482 513 1,182
MCMINN 28,168 1,816 520 26 345 63
MCNAIRY 14,079 894 326 1 154 17
MEIGS 6,881 833 155 1 109 25
MONROE 28,247 1,811 683 2 440 62
MONTGOMER 84,784 4,005 3,458 126 1,921 2,599
MOORE 4,295 127 106 26 113 13
MORGAN 11,078 200 190 0 153 3
OBION 18,866 1,985 358 1,362 344 601
OVERTON 12,784 974 260 783 217 68
PERRY 5,030 508 87 0 94 15
PICKETT 3,935 297 51 0 52 21
POLK 10,508 961 250 431 221 755
PUTNAM 39,299 1,910 1,075 1,250 693 1,431
RHEA 18,485 1,544 377 0 90 2
ROANE 33,330 2,486 583 0 473 338
ROBERTSON 36,467 1,664 1,075 166 459 1,356
RUTHERFOR 133,601 7,338 3,187 151 1,750 5,356
SCOTT 13,833 523 147 0 146 71
SEQUATCHIE 8,802 572 315 1 129 1
SEVIER 46,173 7,110 1,419 55 726 196
SHELBY 574,444 34,705 6,757 3,284 9,397 40,547
SMITH 11,992 477 298 160 239 95
STEWART 7,946 463 241 169 108 316
SULLIVAN 82,981 5,984 1,872 119 708 1,999
SUMNER 90,311 8,328 2,501 20 1,108 191
TIPTON 34,835 3,406 916 977 637 124
TROUSDALE 5,055 274 92 0 92 69
UNICOI 10,275 826 293 420 177 384
UNION 11,764 0 322 0 164 105
VAN BUREN 4,163 262 71 0 43 6
WARREN 18,799 3,102 559 2,778 340 58
WASHINGTON 67,138 6,780 2,049 28 862 149
WAYNE 9,993 35 110 0 141 648
WEAKLEY 19,130 1,769 323 659 311 851
WHITE 15,248 571 360 466 507 218
WILLIAMSON 115,904 3,444 2,438 103 1,211 3,340
WILSON 66,598 2,611 1,761 835 963 1,570
