County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 37,802 10,720 871 5,318 412 205
BEDFORD 18,345 5,437 359 0 191 90
BENTON 8,235 3,331 179 185 90 72
BLEDSOE 7,132 1,745 151 30 99 20
BLOUNT 68,338 4,051 1,822 80 742 71
BRADLEY 56,875 4,799 1,017 160 465 216
CAMPBELL 21,239 2,772 352 23 260 850
CANNON 6,489 1,932 136 2 73 48
CARROLL 17,428 1,659 446 202 468 48
CARTER 29,836 1,990 538 1,467 419 109
CHEATHAM 21,804 2,991 456 1 253 34
CHESTER 9,023 1,235 220 367 149 33
CLAIBORNE 15,287 1,800 339 2,023 267 0
CLAY 5,069 683 118 0 71 9
COCKE 19,296 3,018 425 9 252 50
COFFEE 25,840 5,640 383 1 172 76
CROCKETT 7,248 1,590 149 1,035 119 23
CUMBERLAND 33,929 5,018 860 0 408 79
DAVIDSON 292,148 73,647 6,819 45,624 3,961 12,788
DECATUR 6,032 1,302 130 1 77 120
DEKALB 9,695 3,172 215 0 124 59
DICKSON 25,408 4,116 593 16 283 66
DYER 18,711 3,475 391 7 215 46
FAYETTE 23,613 3,159 479 1,763 273 115
FENTRESS 10,018 2,495 194 0 105 46
FRANKLIN 20,962 4,651 495 2 267 89
GIBSON 25,311 5,419 664 1,953 330 92
GILES 16,344 2,031 371 0 177 36
GRAINGER 11,230 3,098 225 2 161 50
GREENE 37,248 3,194 760 47 418 65
GRUNDY 5,638 1,752 477 3 462 45
HAMBLEN 31,350 2,765 554 23 411 61
HAMILTON 221,293 10,113 3,624 0 3,226 122
HANCOCK 4,607 374 64 258 71 5
HARDEMAN 13,084 3,287 205 1,340 146 157
HARDIN 13,592 2,124 280 0 161 32
HAWKINS 26,358 9,753 658 0 235 167
HAYWOOD 9,407 2,506 237 0 129 64
HENDERSON 14,455 3,847 342 5 155 56
HENRY 16,459 3,253 348 1 201 46
HICKMAN 11,717 2,293 225 0 148 43
HOUSTON 4,801 501 76 1 45 6
HUMPHREYS 11,345 974 262 389 141 400
JACKSON 6,871 1,534 152 0 104 33
JEFFERSON 26,220 3,959 712 4 381 68
JOHNSON 10,128 886 155 13 139 21
KNOX 274,882 14,719 3,889 72 3,159 249
LAKE 3,476 543 78 2 58 16
LAUDERDALE 13,672 898 242 3 198 23
LAWRENCE 20,881 3,654 273 0 251 64
LEWIS 6,524 1,704 149 1 51 63
LINCOLN 16,680 3,911 422 15 81 114
LOUDON 28,359 4,709 770 0 399 105
MACON 9,187 3,951 178 1 84 89
MADISON 49,739 14,080 1,022 10,503 516 269
MARION 14,279 5,658 363 23 174 109
MARSHALL 13,743 4,794 325 3 166 96
MAURY 46,198 5,648 1,233 1,655 512 191
MCMINN 27,453 2,796 571 1,634 390 989
MCNAIRY 13,014 2,292 268 3 143 38
MEIGS 6,214 1,275 131 1 82 22
MONROE 23,823 7,718 601 0 289 107
MONTGOMER 75,187 22,017 2,457 13,866 603 915
MOORE 4,440 126 43 36 76 1
MORGAN 9,118 2,866 263 2,866 151 59
OBION 15,936 4,091 280 1 159 77
OVERTON 11,646 2,255 259 2 173 51
PERRY 5,016 300 97 0 68 200
PICKETT 3,461 509 72 0 38 221
POLK 11,580 86 275 0 186 2
PUTNAM 32,460 10,886 912 97 380 237
RHEA 14,006 6,025 364 5 125 93
ROANE 27,602 4,864 539 23 300 97
ROBERTSON 34,266 5,027 3,983 858 263 3,308
RUTHERFORD 127,403 23,545 5,387 16,558 3,164 392
SCOTT 13,177 1,391 181 0 145 17
SEQUATCHIE 8,799 1,089 215 119 98 18
SEVIER 49,794 7,578 1,603 3,594 3,861 787
SHELBY 494,748 109,857 6,676 314 3,016 720
SMITH 10,119 2,526 206 2 103 50
STEWART 6,976 1,770 124 18 77 147
SULLIVAN 81,447 8,947 2,289 8,168 1,560 254
SUMNER 81,342 20,179 2,968 1,915 1,521 2,508
TIPTON 30,368 9,458 784 90 274 160
TROUSDALE 4,317 974 167 156 34 19
UNICOI 8,995 2,335 193 4 143 66
UNION 8,636 3,634 144 1,284 148 23
VAN BUREN 4,034 357 65 2 40 6
WARREN 17,918 3,619 456 5 155 102
WASHINGTON 60,110 12,261 1,699 10,148 846 5,674
WAYNE 8,178 2,085 164 0 64 29
WEAKLEY 15,267 5,181 303 2,261 211 518
WHITE 12,648 3,874 300 1 182 66
WILLIAMSON 112,551 22,078 3,930 38 927 507
WILSON 63,194 12,967 1,672 445 681 291
