County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 40,433 7,752 1,308 0 581 141
BEDFORD 20,499 3,120 588 696 323 94
BENTON 9,296 2,675 265 19 154 69
BLEDSOE 7,163 1,466 396 161 285 22
BLOUNT 65,446 7,837 2,197 85 763 117
BRADLEY 57,691 3,166 2,083 70 1,048 73
CAMPBELL 22,498 1,738 476 68 292 80
CANNON 7,721 519 238 76 125 20
CARROLL 15,168 3,711 886 770 1,066 60
CARTER 29,884 4,076 864 29 447 70
CHEATHAM 20,529 3,581 741 1 256 77
CHESTER 8,451 1,287 352 108 127 49
CLAIBORNE 15,703 2,167 479 117 327 0
CLAY 4,785 1,414 184 0 108 140
COCKE 20,784 1,588 493 25 281 26
COFFEE 28,587 2,698 899 2 470 54
CROCKETT 7,931 861 510 1 404 13
CUMBERLAND 33,714 5,627 1,170 1 407 90
DAVIDSON 293,385 60,266 12,150 11,499 3,633 1,712
DECATUR 6,520 813 149 23 85 20
DEKALB 10,086 2,631 388 0 193 60
DICKSON 25,492 4,677 744 234 251 66
DYER 19,386 2,527 1,884 327 1,775 59
FAYETTE 24,262 2,449 794 111 99 16
FENTRESS 10,119 2,159 241 0 121 49
FRANKLIN 22,534 2,554 651 111 308 69
GIBSON 27,404 3,109 887 22 497 54
GILES 16,443 2,159 487 89 206 39
GRAINGER 12,667 887 327 18 163 23
GREENE 36,961 3,230 430 272 149 12
GRUNDY 6,126 1,127 186 82 86 28
HAMBLEN 31,081 2,558 826 203 445 136
HAMILTON 214,526 3,979 4,983 0 2,151 3,001
HANCOCK 4,867 217 87 0 56 9
HARDEMAN 15,130 1,129 386 0 307 45
HARDIN 14,323 1,749 400 0 188 24
HAWKINS 28,069 7,073 882 200 407 192
HAYWOOD 9,974 2,114 1,085 0 904 92
HENDERSON 15,810 2,326 483 11 231 23
HENRY 17,733 5,989 1,405 90 1,103 125
HICKMAN 13,255 902 322 5 214 19
HOUSTON 4,618 579 123 0 62 16
HUMPHREYS 11,439 904 343 0 190 19
JACKSON 8,135 235 231 56 236 9
JEFFERSON 26,175 3,915 835 20 426 92
JOHNSON 10,434 651 357 0 243 124
KNOX 263,651 15,469 8,117 545 2,945 341
LAKE 3,490 688 83 132 53 23
LAUDERDALE 13,593 579 371 65 286 13
LAWRENCE 22,313 4,120 519 0 287 76
LEWIS 6,904 1,385 213 0 82 27
LINCOLN 17,762 2,298 602 12 163 31
LOUDON 28,340 3,813 975 135 398 102
MACON 10,425 2,749 370 1,352 190 43
MADISON 55,250 8,184 1,596 1,018 667 156
MARION 15,092 4,921 498 16 198 84
MARSHALL 13,700 4,326 529 1,721 178 91
MAURY 42,694 7,987 1,681 6,130 765 107
MCMINN 27,520 2,598 1,098 11 523 190
MCNAIRY 14,652 466 530 5 272 15
MEIGS 6,589 1,071 246 5 128 21
MONROE 23,725 7,001 787 0 348 152
MONTGOMER 83,522 13,361 4,142 105 524 273
MOORE 4,420 112 139 0 41 1
MORGAN 11,653 156 210 0 175 4
OBION 17,089 3,535 392 3 211 61
OVERTON 12,938 1,248 418 0 190 27
PERRY 4,826 538 92 0 75 15
PICKETT 3,608 515 99 54 90 11
POLK 11,011 107 425 0 150 2
PUTNAM 35,676 7,089 1,238 93 525 186
RHEA 18,005 1,432 526 391 318 35
ROANE 31,162 3,738 906 0 495 86
ROBERTSON 34,918 4,737 1,267 22 464 110
RUTHERFORD 130,535 17,738 5,667 15 1,583 304
SCOTT 13,092 1,316 213 819 155 14
SEQUATCHIE 8,194 1,314 317 897 133 12
SEVIER 42,870 9,136 1,958 0 1,028 695
SHELBY 430,958 151,815 11,211 87,271 5,737 32,428
SMITH 10,811 1,840 293 66 210 50
STEWART 7,122 1,504 294 364 117 47
SULLIVAN 86,048 660 2,065 124 1,209 23
SUMNER 87,312 11,087 3,307 1,021 1,572 240
TIPTON 31,469 7,300 1,181 1,277 329 115
TROUSDALE 4,691 680 163 128 94 26
UNICOI 9,909 1,441 347 29 104 36
UNION 10,761 1,390 282 15 220 21
VAN BUREN 4,113 523 161 0 71 13
WARREN 18,909 3,547 650 10 205 98
WASHINGTON 65,294 8,512 2,418 41 698 129
WAYNE 9,632 835 197 0 95 4
WEAKLEY 16,326 4,257 487 803 230 118
WHITE 14,435 1,974 705 176 543 56
WILLIAMSON 115,422 13,391 4,535 240 1,210 239
WILSON 64,426 8,613 2,224 27 763 168
