County Registered_Voters Total_Votes_Cast Voter_Turnout Absentee_By_Mail_Voters Early_Voters Percentage_Of_Early_Voters Percentage_of_Early_And_Absentee_Voters
Anderson 48,430 19,484 40.23% 419 9203 47.23% 49.38%
Bedford 23,824 9,902 41.56% 106 3902 39.41% 40.48%
Benton 12,013 5,094 42.40% 76 3115 61.15% 62.64%
Bledsoe 8,919 3,897 43.69% 71 1039 26.66% 28.48%
Blount 76,591 30,408 39.70% 397 11323 37.24% 38.54%
Bradley 63,184 21,446 33.94% 251 10904 50.84% 52.01%
Campbell 24,915 9,042 36.29% 149 3738 41.34% 42.99%
Cannon 8,131 3,976 48.90% 69 1319 33.17% 34.91%
Carroll 19,752 8,562 43.35% 156 3451 40.31% 42.13%
Carter 34,627 14,155 40.88% 349 5599 39.55% 42.02%
Cheatham 24,216 10,267 42.40% 134 4525 44.07% 45.38%
Chester 12,473 4,029 32.30% 64 1647 40.88% 42.47%
Claiborne 18,159 6,536 35.99% 150 2738 41.89% 44.19%
Clay 6,335 2,032 32.08% 72 837 41.19% 44.73%
Cocke 21,221 8,588 40.47% 157 4049 47.15% 48.98%
Coffee 31,340 13,728 43.80% 152 6299 45.88% 46.99%
Crockett 9,568 4,419 46.19% 44 2077 47.00% 48.00%
Cumberland 39,260 20,435 52.05% 494 11955 58.50% 60.92%
Davidson 353,654 156,908 44.37% 1,763 70902 45.19% 46.31%
Decatur 7,878 3,256 41.33% 31 1308 40.17% 41.12%
DeKalb 13,127 5,009 38.16% 96 1912 38.17% 40.09%
Dickson 30,145 12,398 41.13% 287 4698 37.89% 40.21%
Dyer 22,803 10,067 44.15% 57 5630 55.93% 56.49%
Fayette 25,679 12,422 48.37% 114 4431 35.67% 36.59%
Fentress 12,497 5,170 41.37% 63 2803 54.22% 55.44%
Franklin 25,942 12,445 47.97% 204 6032 48.47% 50.11%
Gibson 31,331 15,387 49.11% 182 4287 27.86% 29.04%
Giles 19,393 8,370 43.16% 115 3946 47.14% 48.52%
Grainger 12,875 4,642 36.05% 99 1782 38.39% 40.52%
Greene 40,319 15,875 39.37% 336 5986 37.71% 39.82%
Grundy 8,643 3,115 36.04% 54 782 25.10% 26.84%
Hamblen 34,210 13,690 40.02% 233 6560 47.92% 49.62%
Hamilton 210,160 87,810 41.78% 1,300 26169 29.80% 31.28%
Hancock 5,075 1,291 25.44% 54 378 29.28% 33.46%
Hardeman 16,523 6,590 39.88% 100 2838 43.07% 44.58%
Hardin 16,572 6,303 38.03% 87 2222 35.25% 36.63%
Hawkins 34,955 12,510 35.79% 251 5285 42.25% 44.25%
Haywood 11,149 5,536 49.65% 198 2307 41.67% 45.25%
Henderson 18,098 6,337 35.01% 60 2686 42.39% 43.33%
Henry 23,724 9,649 40.67% 138 5184 53.73% 55.16%
Hickman 14,498 5,362 36.98% 79 2151 40.12% 41.59%
Houston 5,289 2,151 40.67% 75 985 45.79% 49.28%
Humphreys 12,275 5,066 41.27% 181 2655 52.41% 55.98%
Jackson 8,693 3,028 34.83% 76 953 31.47% 33.98%
Jefferson 29,845 11,346 38.02% 257 5186 45.71% 47.97%
Johnson 10,692 4,636 43.36% 108 2358 50.86% 53.19%
Knox 283,895 105,991 37.33% 1,764 55600 52.46% 54.12%
Lake 4,368 1,449 33.17% 31 649 44.79% 46.93%
Lauderdale 14,631 6,237 42.63% 309 2789 44.72% 49.67%
Lawrence 26,724 11,780 44.08% 109 5131 43.56% 44.48%
Lewis 8,386 3,585 42.75% 44 1723 48.06% 49.29%
Lincoln 19,880 8,688 43.70% 86 3882 44.68% 45.67%
Loudon 31,758 15,502 48.81% 296 8976 57.90% 59.81%
Macon 13,409 4,974 37.09% 45 2795 56.19% 57.10%
Madison 63,313 28,636 45.23% 463 13630 47.60% 49.21%
Marion 20,156 7,465 37.04% 84 2043 27.37% 28.49%
Marshall 17,881 7,637 42.71% 106 3323 43.51% 44.90%
Maury 46,721 23,405 50.10% 295 12226 52.24% 53.50%
McMinn 27,991 11,544 41.24% 208 5130 44.44% 46.24%
McNairy 15,576 6,865 44.07% 100 2411 35.12% 36.58%
Meigs 7,849 2,673 34.06% 59 1102 41.23% 43.43%
Monroe 30,290 10,545 34.81% 422 4069 38.59% 42.59%
Montgomery 93,013 31,366 33.72% 664 15531 49.52% 51.63%
Moore 4,451 2,113 47.47% 37 874 41.36% 43.11%
Morgan 11,780 4,524 38.40% 74 1447 31.98% 33.62%
Obion 21,052 9,591 45.56% 97 4767 49.70% 50.71%
Overton 14,087 5,347 37.96% 78 2294 42.90% 44.36%
Perry 5,594 1,920 34.32% 49 700 36.46% 39.01%
Pickett 4,361 2,200 50.45% 55 909 41.32% 43.82%
Polk 11,429 4,036 35.31% 55 1310 32.46% 33.82%
Putnam 42,445 18,863 44.44% 320 8763 46.46% 48.15%
Rhea 19,990 7,391 36.97% 143 2796 37.83% 39.76%
Roane 35,385 15,889 44.90% 314 7941 49.98% 51.95%
Robertson 39,385 18,029 45.78% 176 7411 41.11% 42.08%
Rutherford 146,398 61,412 41.95% 573 29456 47.96% 48.90%
Scott 14,923 4,862 32.58% 165 2181 44.86% 48.25%
Sequatchie 8,909 3,550 39.85% 26 1200 33.80% 34.54%
Sevier 52,060 19,890 38.21% 239 7486 37.64% 38.84%
Shelby 602,654 232,243 38.54% 2,190 107778 46.41% 47.35%
Smith 12,940 5,870 45.36% 180 2934 49.98% 53.05%
Stewart 8,649 3,897 45.06% 142 1975 50.68% 54.32%
Sullivan 90,618 39,934 44.07% 891 20107 50.35% 52.58%
Sumner 101,043 44,850 44.39% 559 15111 33.69% 34.94%
Tipton 38,962 16,004 41.08% 150 8299 51.86% 52.79%
Trousdale 5,314 2,115 39.80% 24 1167 55.18% 56.31%
Unicoi 11,425 4,485 39.26% 63 2148 47.89% 49.30%
Union 11,985 3,842 32.06% 140 816 21.24% 24.88%
Van Buren 4,615 1,638 35.49% 22 596 36.39% 37.73%
Warren 22,301 9,932 44.54% 64 4609 46.41% 47.05%
Washington 73,805 29,290 39.69% 580 11141 38.04% 40.02%
Wayne 10,257 3,587 34.97% 79 1261 35.15% 37.36%
Weakley 21,297 9,649 45.31% 60 4493 46.56% 47.19%
White 15,349 7,141 46.52% 117 2917 40.85% 42.49%
Williamson 124,666 60,887 48.84% 506 27337 44.90% 45.73%
Wilson 68,555 34,850 50.84% 305 14747 42.32% 43.19%
