County RegisteredVoters Total_Votes_Cast Voter_Turnout Absentee_By_Mail_Voters Early_Voters Percentage_Of_Early_Voters Percentage_of_Early_And_Absentee_Voters
Anderson 47,837 9,171 19.17% 197 2939 32.05% 34.19%
Bedford 23,495 3,844 16.36% 59 1021 26.56% 28.10%
Benton 12,036 2,088 17.35% 34 926 44.35% 45.98%
Bledsoe 8,486 2,288 26.96% 73 465 20.32% 23.51%
Blount 72,485 15,577 21.49% 230 3887 24.95% 26.43%
Bradley 60,571 11,079 18.29% 143 4811 43.42% 44.72%
Campbell 24,166 3,885 16.08% 75 937 24.12% 26.05%
Cannon 8,235 1,462 17.75% 53 277 18.95% 22.57%
Carroll 19,133 2,468 12.90% 70 656 26.58% 29.42%
Carter 33,804 6,522 19.29% 223 1814 27.81% 31.23%
Cheatham 23,842 3,742 15.69% 53 911 24.35% 25.76%
Chester 9,774 1,533 15.68% 50 449 29.29% 32.55%
Claiborne 17,296 2,405 13.90% 70 486 20.21% 23.12%
Clay 6,236 560 8.98% 27 161 28.75% 33.57%
Cocke 20,629 3,996 19.37% 114 1455 36.41% 39.26%
Coffee 31,139 5,625 18.06% 95 1443 25.65% 27.34%
Crockett 8,745 2,459 28.12% 49 888 36.11% 38.10%
Cumberland 39,241 10,116 25.78% 319 4032 39.86% 43.01%
Davidson 350,753 52,940 15.09% 860 11350 21.44% 23.06%
Decatur 7,280 1,038 14.26% 27 257 24.76% 27.36%
DeKalb 12,636 2,599 20.57% 69 650 25.01% 27.66%
Dickson 29,910 4,663 15.59% 111 1027 22.02% 24.40%
Dyer 22,088 3,093 14.00% 32 1059 34.24% 35.27%
Fayette 26,329 4,932 18.73% 49 1051 21.31% 22.30%
Fentress 12,217 1,820 14.90% 33 801 44.01% 45.82%
Franklin 24,894 5,448 21.88% 132 1896 34.80% 37.22%
Gibson 30,953 5,373 17.36% 76 798 14.85% 16.27%
Giles 18,422 2,445 13.27% 57 713 29.16% 31.49%
Grainger 12,633 2,416 19.12% 78 632 26.16% 29.39%
Greene 40,108 8,502 21.20% 220 2424 28.51% 31.10%
Grundy 7,217 1,190 16.49% 51 287 24.12% 28.40%
Hamblen 33,522 6,224 18.57% 128 1809 29.06% 31.12%
Hamilton 214,691 37,845 17.63% 711 8494 22.44% 24.32%
Hancock 4,852 627 12.92% 30 178 28.39% 33.17%
Hardeman 16,407 3,336 20.33% 82 1085 32.52% 34.98%
Hardin 15,964 2,427 15.20% 51 624 25.71% 27.81%
Hawkins 34,905 9,141 26.19% 261 3354 36.69% 39.55%
Haywood 11,149 1,384 12.41% 76 387 27.96% 33.45%
Henderson 18,198 5,453 29.96% 84 2501 45.86% 47.41%
Henry 23,670 3,283 13.87% 68 1630 49.65% 51.72%
Hickman 14,076 2,065 14.67% 55 621 30.07% 32.74%
Houston 5,156 689 13.36% 26 277 40.20% 43.98%
Humphreys 12,244 1,613 13.17% 127 625 38.75% 46.62%
Jackson 8,360 1,181 14.13% 54 262 22.18% 26.76%
Jefferson 29,810 5,587 18.74% 152 1578 28.24% 30.96%
Johnson 10,478 2,084 19.89% 50 922 44.24% 46.64%
Knox 275,983 49,747 18.03% 787 16282 32.73% 34.31%
Lake 3,607 335 9.29% 3 149 44.48% 45.37%
Lauderdale 14,439 1,486 10.29% 178 329 22.14% 34.12%
Lawrence 26,319 3,476 13.21% 51 857 24.65% 26.12%
Lewis 8,187 1,208 14.76% 32 475 39.32% 41.97%
Lincoln 19,803 3,330 16.82% 45 931 27.96% 29.31%
Loudon 31,924 8,334 26.11% 214 4042 48.50% 51.07%
Macon 11,727 2,261 19.28% 58 971 42.95% 45.51%
Madison 62,786 8,335 13.28% 162 2263 27.15% 29.09%
Marion 19,793 5,091 25.72% 68 1138 22.35% 23.69%
Marshall 17,904 2,587 14.45% 56 750 28.99% 31.16%
Maury 48,226 13,683 28.37% 166 5125 37.46% 38.67%
McMinn 29,847 6,699 22.44% 114 2583 38.56% 40.26%
McNairy 15,063 2,453 16.28% 71 425 17.33% 20.22%
Meigs 6,522 1,630 24.99% 59 615 37.73% 41.35%
Monroe 30,498 4,285 14.05% 153 1028 23.99% 27.56%
Montgomery 94,855 10,873 11.46% 266 3591 33.03% 35.47%
Moore 4,466 809 18.11% 24 221 27.32% 30.28%
Morgan 11,774 1,564 13.28% 22 296 18.93% 20.33%
Obion 20,555 2,559 12.45% 44 810 31.65% 33.37%
Overton 14,099 3,676 26.07% 82 1466 39.88% 42.11%
Perry 5,427 614 11.31% 35 186 30.29% 35.99%
Pickett 4,113 1,111 27.01% 72 280 25.20% 31.68%
Polk 10,989 2,891 26.31% 75 867 29.99% 32.58%
Putnam 42,529 8,044 18.91% 186 2598 32.30% 34.61%
Rhea 19,558 4,326 22.12% 126 1349 31.18% 34.10%
Roane 34,652 5,969 17.23% 142 1928 32.30% 34.68%
Robertson 39,199 6,214 15.85% 104 1724 27.74% 29.42%
Rutherford 146,033 25,115 17.20% 350 7798 31.05% 32.44%
Scott 13,923 3,164 22.72% 84 884 27.94% 30.59%
Sequatchie 8,286 1,671 20.17% 14 450 26.93% 27.77%
Sevier 50,730 13,458 26.53% 176 3818 28.37% 29.68%
Shelby 610,977 72,697 11.90% 733 20840 28.67% 29.68%
