County Register_Voters Total_Votes_Cast Voter_Turnout Absentee_By_Mail_Voters Early_Voters Percentage_Of_Early_Voters Percentage_of_Early_And_Absentee_Voters
Anderson 48,346 12,350 25.55% 295 6351 51.43% 53.81%
Bedford 23,680 2,497 10.54% 40 1045 41.85% 43.45%
Benton 11,960 1,794 15.00% 25 925 51.56% 52.95%
Bledsoe 8,627 2,251 26.09% 65 582 25.86% 28.74%
Blount 73,490 12,688 17.26% 191 4688 36.95% 38.45%
Bradley 61,239 14,737 24.06% 240 7993 54.24% 55.87%
Campbell 24,480 6,684 27.30% 124 2874 43.00% 44.85%
Cannon 8,306 1,790 21.55% 34 567 31.68% 33.58%
Carroll 18,896 3,899 20.63% 95 1610 41.29% 43.73%
Carter 34,041 3,791 11.14% 188 1448 38.20% 43.15%
Cheatham 24,284 5,586 23.00% 99 2525 45.20% 46.97%
Chester 9,955 1,960 19.69% 60 914 46.63% 49.69%
Claiborne 17,706 5,057 28.56% 167 1949 38.54% 41.84%
Clay 6,217 1,855 29.84% 86 813 43.83% 48.46%
Cocke 20,828 4,121 19.79% 104 2097 50.89% 53.41%
Coffee 32,576 7,300 22.41% 96 3224 44.16% 45.48%
Crockett 8,804 2,413 27.41% 38 1228 50.89% 52.47%
Cumberland 39,720 7,298 18.37% 156 4231 57.97% 60.11%
Davidson 358,108 48,741 13.61% 661 16430 33.71% 35.06%
Decatur 7,337 1,703 23.21% 56 665 39.05% 42.34%
DeKalb 12,888 2,411 18.71% 48 838 34.76% 36.75%
Dickson 30,449 5,609 18.42% 272 1531 27.30% 32.14%
Dyer 22,183 4,009 18.07% 27 1906 47.54% 48.22%
Fayette 26,718 4,817 18.03% 59 1840 38.20% 39.42%
Fentress 12,459 3,379 27.12% 87 1839 54.42% 57.00%
Franklin 25,021 5,356 21.41% 98 2537 47.37% 49.20%
Gibson 30,590 3,087 10.09% 65 738 23.91% 26.01%
Giles 18,672 4,331 23.20% 88 1861 42.97% 45.00%
Grainger 12,652 1,344 10.62% 58 457 34.00% 38.32%
Greene 40,531 10,532 25.99% 182 3702 35.15% 36.88%
Grundy 7,225 1,689 23.38% 51 427 25.28% 28.30%
Hamblen 31,100 5,516 17.74% 132 2776 50.33% 52.72%
Hamilton 216,003 50,562 23.41% 829 17518 34.65% 36.29%
Hancock 4,895 833 17.02% 57 239 28.69% 35.53%
Hardeman 16,468 4,550 27.63% 89 2280 50.11% 52.07%
Hardin 16,096 3,034 18.85% 44 1261 41.56% 43.01%
Hawkins 35,314 5,608 15.88% 219 2389 42.60% 46.50%
Haywood 12,091 2,537 20.98% 142 1100 43.36% 48.96%
Henderson 18,500 2,419 13.08% 39 1124 46.47% 48.08%
Henry 23,691 2,360 9.96% 38 1078 45.68% 47.29%
Hickman 14,178 1,809 12.76% 54 719 39.75% 42.73%
Houston 5,184 1,446 27.89% 79 651 45.02% 50.48%
Humphreys 12,391 4,033 32.55% 165 2536 62.88% 66.97%
Jackson 8,369 1,900 22.70% 72 653 34.37% 38.16%
Jefferson 30,149 4,899 16.25% 134 2301 46.97% 49.70%
Johnson 11,198 2,781 24.83% 95 1589 57.14% 60.55%
Knox 278,476 24,476 8.79% 925 11934 48.76% 52.54%
Lake 3,533 993 28.11% 18 442 44.51% 46.32%
Lauderdale 14,211 3,309 23.28% 231 1490 45.03% 52.01%
Lawrence 26,476 7,281 27.50% 121 2803 38.50% 40.16%
Lewis 8,260 3,266 39.54% 66 1737 53.18% 55.21%
Lincoln 20,142 3,887 19.30% 48 1802 46.36% 47.59%
Loudon 32,312 6,039 18.69% 180 3609 59.76% 62.74%
Macon 13,195 2,806 21.27% 65 1580 56.31% 58.62%
Madison 63,501 13,609 21.43% 268 6625 48.68% 50.65%
Marion 20,059 3,877 19.33% 44 1147 29.58% 30.72%
Marshall 18,121 5,040 27.81% 102 2498 49.56% 51.59%
Maury 43,299 7,445 17.19% 104 3865 51.91% 53.31%
McMinn 30,327 6,470 21.33% 111 3136 48.47% 50.19%
McNairy 15,302 4,345 28.39% 156 1558 35.86% 39.45%
Meigs 6,578 1,423 21.63% 42 649 45.61% 48.56%
Monroe 30,792 6,538 21.23% 722 2528 38.67% 49.71%
Montgomery 97,517 6,844 7.02% 247 3700 54.06% 57.67%
Moore 4,563 1,571 34.43% 40 743 47.29% 49.84%
Morgan 11,836 2,215 18.71% 42 744 33.59% 35.49%
Obion 20,651 2,464 11.93% 32 1145 46.47% 47.77%
Overton 14,178 3,847 27.13% 90 1805 46.92% 49.26%
Perry 5,438 859 15.80% 43 322 37.49% 42.49%
Pickett 4,124 1,417 34.36% 81 500 35.29% 41.00%
Polk 11,233 3,747 33.36% 149 1552 41.42% 45.40%
Putnam 43,022 9,462 21.99% 276 3909 41.31% 44.23%
Rhea 19,770 5,630 28.48% 136 2642 46.93% 49.34%
Roane 35,100 11,160 31.79% 245 5602 50.20% 52.39%
Robertson 39,755 7,571 19.04% 90 2865 37.84% 39.03%
Rutherford 148,781 20,947 14.08% 301 9927 47.39% 48.83%
Scott 14,486 2,189 15.11% 132 842 38.47% 44.50%
Sequatchie 8,354 2,324 27.82% 13 1096 47.16% 47.72%
Sevier 57,502 10,558 18.36% 147 4305 40.77% 42.17%
