County Register_Voters Total_Votes_Cast Voter_Turnout Absentee_By_Mail_Voters Early_Voters Percentage_Of_Early_Voters Percentage_of_Early_And_Absentee_Voters
Anderson 49,169 30,046 61.11% 1,038 17423 57.99% 61.44%
Bedford 24,291 14,534 59.83% 273 7614 52.39% 54.27%
Benton 12,206 6,335 51.90% 182 3825 60.38% 63.25%
Bledsoe 8,627 4,477 51.90% 151 1209 27.00% 30.38%
Blount 75,550 49,988 66.17% 1,325 25481 50.97% 53.62%
Bradley 62,806 36,142 57.55% 782 23579 65.24% 67.40%
Campbell 24,785 12,302 49.63% 310 5295 43.04% 45.56%
Cannon 8,449 5,075 60.07% 136 1949 38.40% 41.08%
Carroll 19,505 11,116 56.99% 314 5120 46.06% 48.88%
Carter 34,685 20,778 59.90% 652 9290 44.71% 47.85%
Cheatham 24,724 15,350 62.09% 343 9087 59.20% 61.43%
Chester 10,292 6,560 63.74% 227 3627 55.29% 58.75%
Claiborne 18,155 10,350 57.01% 308 4769 46.08% 49.05%
Clay 6,347 2,856 45.00% 114 1345 47.09% 51.09%
Cocke 21,159 11,541 54.54% 308 5709 49.47% 52.14%
Coffee 31,974 19,424 60.75% 470 10810 55.65% 58.07%
Crockett 8,951 5,555 62.06% 101 2929 52.73% 54.55%
Cumberland 40,497 25,653 63.35% 938 15495 60.40% 64.06%
Davidson 369,339 246,245 66.67% 5,436 156151 63.41% 65.62%
Decatur 7,566 4,320 57.10% 159 2199 50.90% 54.58%
DeKalb 13,061 6,582 50.39% 293 3011 45.75% 50.20%
Dickson 30,980 18,198 58.74% 566 8784 48.27% 51.38%
Dyer 22,751 13,923 61.20% 208 8615 61.88% 63.37%
Fayette 27,545 19,771 71.78% 390 10478 53.00% 54.97%
Fentress 12,639 7,110 56.25% 182 4214 59.27% 61.83%
Franklin 25,399 16,318 64.25% 501 8593 52.66% 55.73%
Gibson 31,559 19,884 63.01% 428 7125 35.83% 37.99%
Giles 19,361 10,840 55.99% 284 5896 54.39% 57.01%
Grainger 12,929 7,353 56.87% 244 3118 42.40% 45.72%
Greene 41,190 24,089 58.48% 791 10644 44.19% 47.47%
Grundy 7,188 4,313 60.00% 139 1725 40.00% 43.22%
Hamblen 32,073 20,147 62.82% 477 10523 52.23% 54.60%
Hamilton 222,480 142,161 63.90% 3,786 66834 47.01% 49.68%
Hancock 4,904 2,112 43.07% 108 690 32.67% 37.78%
Hardeman 16,642 10,599 63.69% 464 5866 55.34% 59.72%
Hardin 16,446 9,636 58.59% 236 4544 47.16% 49.61%
Hawkins 35,844 19,991 55.77% 519 10593 52.99% 55.59%
Haywood 12,091 7,728 63.92% 408 4571 59.15% 64.43%
Henderson 18,353 10,200 55.58% 181 5562 54.53% 56.30%
Henry 24,113 12,823 53.18% 323 7443 58.04% 60.56%
Hickman 14,225 7,759 54.54% 217 3879 49.99% 52.79%
Houston 5,425 3,070 56.59% 163 1558 50.75% 56.06%
Humphreys 12,674 6,973 55.02% 272 4075 58.44% 62.34%
Jackson 8,416 4,231 50.27% 171 1622 38.34% 42.38%
Jefferson 30,900 17,781 57.54% 490 9191 51.69% 54.45%
Johnson 11,279 6,244 55.36% 288 3573 57.22% 61.84%
Knox 287,288 174,440 60.72% 5,131 110446 63.31% 66.26%
Lake 4,214 2,105 49.95% 63 1043 49.55% 52.54%
Lauderdale 14,444 8,760 60.65% 391 4939 56.38% 60.84%
Lawrence 26,781 15,808 59.03% 309 8121 51.37% 53.33%
Lewis 8,275 4,790 57.89% 139 2759 57.60% 60.50%
Lincoln 20,607 13,383 64.94% 309 6670 49.84% 52.15%
Loudon 33,133 22,341 67.43% 796 14839 66.42% 69.98%
Macon 13,384 6,946 51.90% 165 4295 61.83% 64.21%
Madison 65,311 41,149 63.00% 1,284 24895 60.50% 63.62%
Marion 20,267 10,681 52.70% 236 3808 35.65% 37.86%
Marshall 18,394 10,829 58.87% 270 5513 50.91% 53.40%
Maury 45,780 33,231 72.59% 687 21215 63.84% 65.91%
McMinn 30,814 18,101 58.74% 422 9767 53.96% 56.29%
McNairy 15,722 9,926 63.13% 301 4101 41.32% 44.35%
Meigs 7,790 4,069 52.23% 128 2108 51.81% 54.95%
Monroe 31,191 16,687 53.50% 1,175 7712 46.22% 53.26%
Montgomery 102,148 55,789 54.62% 2,987 31536 56.53% 61.88%
Moore 4,588 2,803 61.09% 60 1436 51.23% 53.37%
Morgan 11,986 6,659 55.56% 197 2794 41.96% 44.92%
Obion 21,023 12,384 58.91% 362 6900 55.72% 58.64%
Overton 14,306 7,772 54.33% 217 3987 51.30% 54.09%
Perry 5,514 2,650 48.06% 111 1082 40.83% 45.02%
Pickett 4,149 2,492 60.06% 139 961 38.56% 44.14%
